name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cpu_sys_ms","cpu_user_ms"
"libpq_sync/narrow/1000000",7,155.835,93.9087,ms,,1.06486e+07,,,,42.3603,51.5503
"libpq_async/narrow/1000000",13,126.365,53.5425,ms,,1.86768e+07,,,,7.70546,45.8374
"libpq_copy_stdout/narrow/1000000",29,145.273,25.6117,ms,,3.90447e+07,,,,9.02124,16.5906
"libpq_async_copy_stdout/narrow/1000000",33,139.39,22.5615,ms,,4.43233e+07,,,,8.92097,13.6407
"odbc/narrow/1000000",2,458.588,458.266,ms,,2.18214e+06,,,,39.7675,418.504
"adbc/narrow/1000000",14,144.57,38.7333,ms,,2.58176e+07,,,,8.01864,30.7151
"libpq_sync/wide/1000000",2,828.205,421.876,ms,,2.37036e+06,,,,196.362,225.519
"libpq_async/wide/1000000",3,720.51,243.817,ms,,4.10143e+06,,,,37.0893,206.73
"libpq_copy_stdout/wide/1000000",12,697.602,91.0521,ms,,1.09827e+07,,,,52.781,38.2716
"libpq_async_copy_stdout/wide/1000000",5,700.143,89.6474,ms,,1.11548e+07,,,,49.4402,40.2084
"odbc/wide/1000000",1,2605.46,2513.98,ms,,397775,,,,119.421,2394.57
"adbc/wide/1000000",3,721.144,186.901,ms,,5.35043e+06,,,,37.4313,149.472
